NatEmis,ProvinceCD,Province,Institution,Name,DoE_Status,LURITS_Status,Sector,Type_DoE,Type_DoE_2,Phase_DoE,TYPE_LURITS,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,Latitude,Longitude,GISSource1,DRD_Code,DRD_DistanceMoved_Metres,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,TransDate,TransComm,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,GradeR_Lrns_2010,Snap_Learners_2011,Educator_Numbers_2011,GradeR_Lrns_2011,Snap_Learners_2012,Educator_Numbers_2012,GradeR_Lrns_2012,Snap_Learners_2013,Educator_Numbers_2013,GradeR_Lrns_2013,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
976601403,9,LP,MASHILO PRE SCHOOL,MASHILO,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ECD,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,SETENENG,VILLAGE,SETENENG VILLAGE,,,APEL,0739,"SETENENG VILLAGE,APEL,0739",P.O.BOX 55,APEL,0739,"P.O.BOX 55,APEL,0739",,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,140,8,2,,,,,,,,,,
976605628,9,LP,MASHIRANE PRE-PRIMARY,MASHIRANE,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,,,THE,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,54,4,,,,,,,,,,,
976604218,9,LP,MASHITE COMMUNITY CRECHE,MASHITE,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,GREATER SEKHUKHUNE,DRIEKOP,,,THE,MANAGER,,MADITAMENG,VILLAGE,MADITAMENG VILLAGE,MADITAMENG,,DRIEKOP,1129,"MADITAMENG VILLAGE,MADITAMENG,,DRIEKOP,1129",,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,90,4,,,,,,,,,0,,
972204413,9,LP,MASHITE PRE SCHOOL,MASHITE,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ECD,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,MASHITE,,MASHITE,MPHAHLELE,,GA MPHAHLELE,0736,"MASHITE ,MPHAHLELE,,GA MPHAHLELE,0736",P.O.BOX  2285,MPHAHLELE,0736,"P.O.BOX  2285,MPHAHLELE,0736",,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,51,2,,,,,,,,,,,
973301201,9,LP,MASHOBYE PRE SCHOOL,MASHOBYE,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ECD,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,MASHOBYE,VILLAGE,MASHOBYE VILLAGE,SAMBO,,STAND NO 505,0986,"MASHOBYE VILLAGE,SAMBO,,STAND NO 505,0986",P.O.BOX 77,SAMBO,0986,"P.O.BOX 77,SAMBO,0986",,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,128,4,,,,,,,,,,,
972204411,9,LP,MASHOENE PER SCHOOL,MASHOENE PER SCHOOL,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ECD,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,GA MPHAHLELE SELETENG,VILLAGE,GA MPHAHLELE SELETENG VILLAGE,MPHAHLELE,,GA MASHOENE,0736,"GA MPHAHLELE SELETENG VILLAGE,MPHAHLELE,,GA MASHOENE,0736",P.O.BOX 221,MPHAHLELE,0736,"P.O.BOX 221,MPHAHLELE,0736",,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,178,4,,,,,,,,,,,
972202205,9,LP,MASHOKO CRECHE,MASHOKO,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,CAPRICORN,MOGOSHI,,,THE,MANAGER,,KGOMO SCHOOL,,KGOMO SCHOOL,POLOKWANE,,,746,"KGOMO SCHOOL ,POLOKWANE,746",,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,76,4,,,,,,,,,0,,
975504224,9,LP,MASHOSHO PRE-PRIMARY,MASHOSHO,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,,,THE,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,540,6,,,,,,,,,,,
976605711,9,LP,MASHUANA PRE-PRIMARY,MASHUANA,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,,,THE,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,56,4,,,,,,,,,,,
973306234,9,LP,MASHUDU KHUMBE COMMUNITY CRECHE,MASHUDU KHUMBE,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,VHEMBE,DZONDO,,,THE,MANAGER,,LWAMONDO,VILLAGE,LWAMONDO VILLAGE,,,,985,"LWAMONDO VILLAGE,985",,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,318,4,,,,,,,,,0,,
973305426,9,LP,MASHUDU PRE-SCHOOL CENTRE,MASHUDU  CENTRE,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ECD,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,THULAMELA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,1,LUFULE,,1 LUFULE,MAKWARELA ASSEMBLIES OF GOD,,THOHOYANDOU,,"1 LUFULE ,MAKWARELA ASSEMBLIES OF GOD,,THOHOYANDOU,",P.O.BOX 3887,THOHOYANDOU,0950,"P.O.BOX 3887,THOHOYANDOU,0950",,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,372,6,,,,,,,,,,,
976604106,9,LP,MASHUTHE  CRECHE,MASHUTHE,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,GREATER SEKHUKHUNE,DILOKONG,,,THE,MANAGER,,,,TO BE UPDATED,,,,749,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,135,6,,,,,,,,,0,,
972205615,9,LP,MASI BATSENA CRECHE,MASI BATSENA,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,CAPRICORN,SESHEGO,,,THE,MANAGER,,MOKGOKONG,VILLAGE,MOKGOKONG VILLAGE,MOKGOKONG,,POLOKWANE,700,"MOKGOKONG VILLAGE,MOKGOKONG,,POLOKWANE,700",,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,48,2,,,,,,,,,0,,
200800657,2,EC,MASIBULELE DCC,MASIBULELE,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,DC12,AMATOLE DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,C,EAST LONDON,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,,,TO BE UPDATED,,,,,,P.O.BOX 1552,EAST LONDON,5201,"P.O.BOX 1552,EAST LONDON,5201",,0728793715,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/03/2007,,,,,,,,,,,,,,,,,,,,,,,,,,
200801572,2,EC,MASIBULELE PRESCHOOL,MASIBULELE,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,DC10,CACADU DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,C,GRAHAMSTOWN,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,,,TO BE UPDATED,,,,,,P.O.BOX 593,BUSHMANS RIVER MOUTH,6190,"P.O.BOX 593,BUSHMANS RIVER MOUTH,6190",,0823568814,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/03/2007,,,,,,,,,,,,,,,,,,,,,,,,,,
976604522,9,LP,MASIE CRECHE,MASIE,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,GREATER SEKHUKHUNE,MOROKE,,,THE,MANAGER,,SEHUNYANE,,SEHUNYANE,MALOKELA,,,1154,"SEHUNYANE ,MALOKELA,1154",,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,20,2,,,,,,,,,0,,
200801480,2,EC,MASIFUNDE EDUCARE CENTRE,MASIFUNDE,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,DC13,CHRIS HANI DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,C,CRADOCK,NTABETHEMBA,,TO BE UPDATED,THE,MANAGER,,,,TO BE UPDATED,,,,,,P.O.BOX 9033,QUEENSTOWN,5320,"P.O.BOX 9033,QUEENSTOWN,5320",,0734388212,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/03/2007,,,,,,,,,,,,,,66,4,,,,,,,,,,,
200801815,2,EC,MASIKHULE EDUCARE CENTRE,MASIKHULE,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,NMA,NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,C,PORT ELIZABETH,CIRCUIT 4,,TO BE UPDATED,THE,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/03/2007,,,,,,,,,,,,,,,,,,,,,,,,,,
200800676,2,EC,MASINCEDANE DCC,MASINCEDANE,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,DC12,AMATOLE DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,C,EAST LONDON,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,,,MANDELA PARK CENTRE,,,,,,CENTRE,ERF NO 38830 DUNCAN VILLAGE,5201,"POST OFFICE,ERF NO 38830 DUNCAN VILLAGE,5201",,0736065022,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/03/2007,,,,,,,,,,,,,,74,2,,,,,,,,,,,
200800699,2,EC,MASIPHUMELELE PRESCHOOL,MASIPHUMELELE,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,DC12,AMATOLE DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,C,EAST LONDON,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,,,436,,,,5219,,,MDANTSANE,5219,"POST OFFICE,MDANTSANE,5219",,0729889786,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/03/2007,,,,,,,,,,,,,,,,,,,,,,,,,,
500460946,5,KZ,MASIQHUBEKE CRECHE,MASIQHUBEKE,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,THE,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,106,4,,,,,,,,,,,
973302201,9,LP,MASISI COMMUNITY CRECHE,MASISI COMMUNITY,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ECD,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,THULAMELA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,NEXT TO MASISI PRIMARY,,NEXT TO MASISI PRIMARY,MASISI VILLAGE,,,,"NEXT TO MASISI PRIMARY ,MASISI VILLAGE,",P.O.BOX 20,MASISI,0989,"P.O.BOX 20,MASISI,0989",,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,122,4,,,,,,,,,,,
500461020,5,KZ,MASITHUTHUKE CRECHE,MASITHUTHUKE,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,THE,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,32,2,,,,,,,,,,,
973301526,9,LP,MASIWANE II  COMMUNITY CRECHE,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,TO BE UPDATED,TSHIPISE-SAGOLE,VHUMBEDZI,,,,,,,,MASIWANE,THOHOYANDOU,,,,,P.O.BOX 1268,,987,TO BE UPDATED,99,,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
200801481,2,EC,MASIZAKHE PRESCHOOL,MASIZAKHE,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,DC13,CHRIS HANI DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,C,CRADOCK,NTABETHEMBA,,TO BE UPDATED,THE,MANAGER,,,,TO BE UPDATED,,,,,,P.O.BOX 967,QUEENSTOWN,5320,"P.O.BOX 967,QUEENSTOWN,5320",,0838914274,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/03/2007,,,,,,,,,,,,,,94,4,,,,,,,,,,,
